csvbase_row_id,Datum,Förmiddag / Eftermiddag,Skola / Grupp,Klass,Art,Element,Del,Sida,Region,Antal fragment,Vikt (g),Mĺtt (mm),Fusionering,Tandslitage ,Ĺlder,Kön,Weathering,Trampling,Gnag,Eldpĺverkan,Slaktspĺr,Bearbetning,Patologi,Kommentar,Övrigt,col26
1,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Dens,M3-,Dexter,Tänder,1,"5,8",,,h,,,,,,,,,,Tredje molar frĺn fĺr/gets höger underkäke,,1
2,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Dens,M,,Tänder,1,"0,5",,,,,,,,,,,,,Molartandfragment frĺn fĺr/get,,2
3,2023-09-12,FM,Helgedalskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,3,"0,8",,,,,,,,,,,,,Obestämbara tandfragment,,3
4,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Metacarpus,Proximal epifys,Sinister,Nedre extremitet,1,"1,4",,F,,,,,,,,,,,Övre fragment av vänster mellanhandsben frĺn vuxen fĺr/get,,4
5,2023-09-11,EM,Enebackeskolan,5C+D,Hjortdjur (Cervidae),Cornu,,,Huvud,1,"2,6",,,,,,1,,,,,Ja,,Bearbetat hornfragment frĺn hjortdjur,,5
6,2023-09-11,EM,Enebackeskolan,5C+D,Fĺr/get (Ovis/capra),"Cranium, cornu",,,Huvud,1,"0,7",,U,,,,,,,,,,,Hornfragment frĺn juvenil fĺr/get,,6
7,2023-09-11,EM,Enebackeskolan,5C+D,Däggdjur (Mammalia),Vertebra,Corpus,,Bĺl,1,"1,2",,,,,,,,,,H,,,"Kotfragment frĺn däggdjur, kapad",,7
8,2023-09-11,EM,Helgedalskolan,5A+B,Obestämd,Obestämd,,,Okänd,1,"1,9",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,8
9,2023-09-11,EM,Helgedalskolan,5A+B,Obestämd,Obestämd,,,Okänd,4,"1,7",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,9
10,2023-09-11,EM,Helgedalskolan,5A+B,Svin (Sus sp.),MC3,"Proximal epifys, prox. Diafys",Sinister,Nedre extremitet,1,"1,8",,F,,,,,,,W,,,,Vitbränt mellanhandsbenfragment frĺn svin,,10
11,2023-10-09,FM,Antonskolan Österäng,,Fĺr/get (Ovis/capra),Dens,M3-,Dexter,Tänder,1,"6,3",,,g,,,,,,,,,,Tredje molar frĺn fĺr/gets höger underkäke,,11
